Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Vent (m/s),Description,Probabilité de pluie
Chine,Pékin,2025-07-05 18:00:00,28.94,43,1003,3.16,ciel dégagé,0.0
Chine,Pékin,2025-07-05 21:00:00,29.19,44,1003,2.02,ciel dégagé,0.0
Chine,Pékin,2025-07-06 00:00:00,28.41,47,1005,0.58,ciel dégagé,0.0
Chine,Pékin,2025-07-06 03:00:00,31.0,35,1007,2.06,ciel dégagé,0.0
Chine,Pékin,2025-07-06 06:00:00,35.27,27,1006,0.8,ciel dégagé,0.0
Chine,Pékin,2025-07-06 09:00:00,36.82,23,1004,2.62,ciel dégagé,0.0
Chine,Pékin,2025-07-06 12:00:00,37.09,25,1002,4.67,ciel dégagé,0.0
Chine,Pékin,2025-07-06 15:00:00,33.99,34,1003,4.19,ciel dégagé,0.0
Chine,Pékin,2025-07-06 18:00:00,30.07,43,1005,3.83,ciel dégagé,0.0
Chine,Pékin,2025-07-06 21:00:00,28.67,41,1005,2.47,ciel dégagé,0.0
Chine,Pékin,2025-07-07 00:00:00,26.98,44,1005,1.77,ciel dégagé,0.0
Chine,Pékin,2025-07-07 03:00:00,29.84,37,1005,1.75,ciel dégagé,0.0
Chine,Pékin,2025-07-07 06:00:00,34.29,27,1004,3.06,peu nuageux,0.0
Chine,Pékin,2025-07-07 09:00:00,36.64,25,1002,4.6,partiellement nuageux,0.0
Chine,Pékin,2025-07-07 12:00:00,33.46,35,1001,3.21,légère pluie,0.33
Chine,Pékin,2025-07-07 15:00:00,28.84,59,1004,5.65,légère pluie,0.3
Chine,Pékin,2025-07-07 18:00:00,28.41,68,1004,1.1,couvert,0.04
Chine,Pékin,2025-07-07 21:00:00,25.95,80,1004,2.51,couvert,0.0
Chine,Pékin,2025-07-08 00:00:00,25.57,81,1006,1.91,couvert,0.0
Chine,Pékin,2025-07-08 03:00:00,27.51,71,1007,1.41,couvert,0.0
Chine,Pékin,2025-07-08 06:00:00,29.56,59,1007,2.08,couvert,0.0
Chine,Pékin,2025-07-08 09:00:00,34.07,44,1005,2.42,couvert,0.0
Chine,Pékin,2025-07-08 12:00:00,34.66,43,1004,1.57,couvert,0.0
Chine,Pékin,2025-07-08 15:00:00,33.13,48,1004,1.89,couvert,0.0
Chine,Pékin,2025-07-08 18:00:00,30.48,60,1005,2.81,légère pluie,0.56
Chine,Pékin,2025-07-08 21:00:00,28.01,68,1006,2.29,légère pluie,0.44
Chine,Pékin,2025-07-09 00:00:00,26.88,66,1007,2.08,couvert,0.0
Chine,Pékin,2025-07-09 03:00:00,26.68,67,1009,1.9,légère pluie,0.29
Chine,Pékin,2025-07-09 06:00:00,30.89,52,1008,2.39,légère pluie,0.2
Chine,Pékin,2025-07-09 09:00:00,36.31,37,1006,1.1,couvert,0.0
Chine,Pékin,2025-07-09 12:00:00,37.15,30,1004,3.61,couvert,0.0
Chine,Pékin,2025-07-09 15:00:00,33.0,46,1005,4.42,couvert,0.0
Chine,Pékin,2025-07-09 18:00:00,30.96,53,1007,2.32,couvert,0.0
Chine,Pékin,2025-07-09 21:00:00,28.69,62,1007,2.44,légère pluie,0.39
Chine,Pékin,2025-07-10 00:00:00,27.32,67,1007,2.29,couvert,0.0
Chine,Pékin,2025-07-10 03:00:00,27.93,62,1008,2.28,couvert,0.0
Chine,Pékin,2025-07-10 06:00:00,33.38,46,1007,1.98,couvert,0.0
Chine,Pékin,2025-07-10 09:00:00,37.57,36,1005,1.61,couvert,0.0
Chine,Pékin,2025-07-10 12:00:00,34.63,43,1005,1.39,couvert,0.0
Chine,Pékin,2025-07-10 15:00:00,30.2,59,1005,2.59,légère pluie,0.79
